,A.jpg,A_1.jpg,B.jpg,B_1.jpg,C.jpg,C_2.jpg,C_3.bmp,C_3.jpg,D.jpg,D_1.jpg,D_2.jpg,D_3.bmp,E.jpg,E_1.jpg,E_2.jpg,F.jpg,F_1.jpg,F_2.jpg,G.jpg,G_1.jpg,G_2.jpg,G_3.jpg,H.jpg,H_1.jpg,I.bmp,J.bmp
0,0.11392523990285586,0.055731653152433225,0.0867708786852266,0.2737830163202104,0.13077372701413004,0.19217833535579587,0.1295602400119844,0.33296612051077945,0.14120997644320454,0.3186500700308613,0.17328292810735424,0.11622732117476098,0.12363764060732685,0.322893417462207,0.19147270346242073,0.1657964736849713,0.19003412823043853,0.33456341606049167,0.19608817953010005,0.2234641125314507,0.3390220154615471,0.21226227330670366,0.17403487315740696,0.35758930702752767,0.16424237276839004,0.13748286724835312
1,0.2537702943309994,0.20058435470746472,0.2544857038566236,0.2763718773601984,0.16065559530565932,0.1216934086300765,0.10921166374014457,0.2149025699630701,0.17180786316158603,0.23058629359689653,0.13240278532347138,0.1176196596154423,0.1401911607141899,0.20449666733030913,0.11653809402906612,0.1750130580968362,0.13421665608130418,0.2190460241740021,0.15979387828386615,0.10163756632909615,0.2114442405540743,0.08538812466047585,0.1466363012947125,0.1785812704684343,0.0030757779448254974,0.019904300538679975
2,0.21963835142525712,0.17058138242919962,0.22792239829560523,0.27867213015889236,0.14232462724577444,0.09935393795516245,0.08838778437586747,0.22455556978442726,0.15514322575061912,0.24861449311110018,0.12004147924370279,0.09671203698238207,0.12273280630193384,0.21482911357540935,0.09259655774651987,0.16867604055684304,0.1324401209136774,0.2372303639330119,0.17723822393828959,0.11128934683602876,0.23212843101824232,0.09426566785399515,0.13763193243117067,0.20549095304481013,0.01759803417742778,0.0033622506156113507
3,0.22126005033552287,0.17175004473397515,0.22782613652860662,0.2825148459764686,0.1372572914939454,0.09747728964679414,0.09073848526062722,0.22820259082122651,0.1511978826411493,0.24864560408527792,0.1137166731075071,0.0971880738249733,0.11821301973195508,0.21635009736329847,0.08965948524137024,0.1648804521896824,0.13093643273388478,0.23814713163262347,0.17114077349482237,0.10591044045339815,0.2300474337531152,0.08844332838790658,0.13146363866603372,0.20473974412289242,0.01717425498213654,0.0052702189521468545
4,0.29283106196891673,0.2512049314289858,0.29650271307543974,0.2966535568638492,0.1628969983038906,0.14892431509566295,0.13981013872413728,0.21523228279759177,0.17400396950836905,0.22464073540801377,0.14187190359747748,0.14785021791835584,0.14620286274192407,0.2064606479800256,0.1338309172880212,0.1633836634305409,0.13480941937629676,0.21481364564707706,0.1362520886976023,0.081146912964432,0.17704513321117155,0.07730437083664465,0.18162693946700093,0.1601909719916117,0.059703311641808754,0.09547104831332898
5,0.2985532598854095,0.25538533954332865,0.3022883691922622,0.29448471120902553,0.16620873420870863,0.1505742721854172,0.13905099100524365,0.2117061500324453,0.1787272298300553,0.2211985695036809,0.14375508977850515,0.1483750142608662,0.14928337111204315,0.20214735075857104,0.13492446941765623,0.16741534155080207,0.13416606528388197,0.21097968605891138,0.1398672808353182,0.08431940005307847,0.17748148616718862,0.07912312772433483,0.18511280684568043,0.15980237711593526,0.05835705888887199,0.09418804894299904
6,0.2345308424368272,0.20828601583024298,0.2275238204947454,0.32555792749785284,0.13658771281232263,0.1505334451761604,0.10596591745641737,0.25799813847541675,0.1508148202997247,0.2724616357894204,0.13931641746744994,0.10783576651885096,0.10950277702878497,0.24138304121854748,0.12998679437388272,0.16552857179757008,0.15338491110686125,0.26756331011850043,0.15036676397363902,0.12467017290908222,0.25716336323666655,0.10100259680062951,0.10041694182386118,0.21367315875590387,0.026660227110577694,0.041485039748347385
7,0.2377012655816041,0.21146336089042583,0.23177624536153651,0.32581761697593403,0.13745493353538618,0.1529992809802495,0.10549672200001392,0.25843046730805697,0.15166511032667773,0.2724378863527023,0.14074635925488277,0.10726311419528223,0.11007318828798851,0.24248521434054437,0.13188152835917955,0.1655630539135724,0.15343317552849345,0.26772499854908616,0.1489579434287649,0.1241100310573856,0.25717950006910306,0.09988990100641981,0.10403553783016306,0.21482766459757718,0.026268686020534893,0.04180749099599568
8,0.15930620960665176,0.13133237822705135,0.1873374395968267,0.23426403367090598,0.07366388617293307,0.09396246505068662,0.0040119326066085925,0.19719497526388163,0.08090545221270007,0.20334181486675196,0.06595358153536646,0.014313526426619427,0.06973762887452839,0.19112822538116414,0.07741875000346166,0.08949178968445759,0.08822221842512412,0.20261436560837076,0.15231418730896795,0.14508874352082402,0.2234063349252845,0.1152431849487251,0.16629165756393638,0.23263481517140217,0.09843498055181032,0.08314098335834574
9,0.1404697199829611,0.11783858845922002,0.1571623604381106,0.2483737941441242,0.05512149546174294,0.11117985169276823,0.01719883188590665,0.2252170831571252,0.05966362914024492,0.2151264492447127,0.06426757059327692,0.004872840731933614,0.05219143720387254,0.21458879201777858,0.09296592147836558,0.07320538459905956,0.1093340037872974,0.22441235759225475,0.13309446847161355,0.14740332084620966,0.23599129241462513,0.1211627406352509,0.13339733884484783,0.24582017096572462,0.10690434078398214,0.09246904181000792
10,0.1413430273486811,0.11713377810618786,0.158926823897504,0.24939300045241153,0.052752535946928636,0.1081415500191355,0.017844658689632253,0.22464207788137525,0.05764931847150978,0.21374349817909,0.06158607431582208,0.004824161131113058,0.050977049564223664,0.21346911479279407,0.09002569613712086,0.07094369560098057,0.1077064416109017,0.22303141019619888,0.13271415455179292,0.144686201689334,0.23433718694533434,0.11972935614601532,0.13552428641966108,0.24621385679152663,0.10950769617580192,0.0940726898470362
11,0.11192479664741994,0.056023158920112226,0.08565030710042099,0.27729953885861836,0.1270210645939065,0.1914129203759627,0.1279331871391962,0.3342654309347374,0.13807238325102944,0.3211940124807797,0.1731497720036349,0.11482004574398852,0.1198608258082231,0.32400081699865546,0.18955256856099867,0.1635087518612658,0.18995977984219492,0.33687075167869784,0.19509356835420633,0.22386873055826917,0.3415968091139472,0.21181084900282332,0.17113201909369014,0.35943226283480434,0.16522278784946143,0.137461621777219
12,0.11392523990285586,0.055731653152433225,0.0867708786852266,0.2737830163202104,0.13077372701413004,0.19217833535579587,0.1295602400119844,0.33296612051077945,0.14120997644320454,0.3186500700308613,0.17328292810735424,0.11622732117476098,0.12363764060732685,0.322893417462207,0.19147270346242073,0.1657964736849713,0.19003412823043853,0.33456341606049167,0.19608817953010005,0.2234641125314507,0.3390220154615471,0.21226227330670366,0.17403487315740696,0.35758930702752767,0.16424237276839004,0.13748286724835312
